gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
b0151,,5,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0152,,5,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b2715,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b3722,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1900,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b4460,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b1901,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b2841,,1,4,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.625646845025779e-06,
b1528,,3,4,0.15565655936741177,0.15565655936741163,1.3877787807814457e-16,0,2.625646845025777e-06,
b4115,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b4117,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b2938,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b1605,,1,8,0.15565655936741177,0.15565655936741418,-2.4147350785597155e-15,0,2.6304663737245104e-06,
b3960,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329697,
b3172,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329695,
b1876,,1,0,0.15565655936741177,0.1556565593674117,5.551115123125783e-17,0,0.0,
b2310,,3,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0863,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0860,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b2307,,4,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b2308,,4,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0862,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b2306,,4,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0864,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0861,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b2923,,2,8,0.15565655936741177,0.15565655936741177,0.0,0,2.630466373722766e-06,
b3433,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296934,
b4192,,1,0,0.15565655936741177,0.15565655936741163,1.3877787807814457e-16,0,0.0,
b4194,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b4193,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b4195,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b1767,,1,4,0.15565655936741177,0.15565655936740874,3.0253577421035516e-15,0,2.625646845025728e-06,
b0828,,1,4,0.15565655936741177,0.15565655936740874,3.0253577421035516e-15,0,2.625646845025728e-06,
b2957,,2,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0674,,1,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b3744,,1,51,0.15565655936741177,0.1556565593674114,3.608224830031759e-16,0,0.006741994527983624,
b0930,,1,4,0.15565655936741177,0.15565655936741193,-1.6653345369377348e-16,0,2.6256468450257815e-06,
b1453,,1,4,0.15565655936741177,0.15565655936741024,1.5265566588595902e-15,0,2.6256468450257527e-06,
b3502,,1,4,0.15565655936741177,0.15565655936741188,-1.1102230246251565e-16,0,2.625646845025781e-06,
b0131,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296934,
b4245,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329692,
b4244,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296957,
b0002,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329693,
b4024,,1,422,0.15565655936741177,0.0,0.15565655936741177,1,372.95940773296934,
b3940,,2,422,0.15565655936741177,0.0,0.15565655936741177,1,372.959407732969,
b2574,,4,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329692,
b4139,,1,4,0.15565655936741177,0.15565655936741174,2.7755575615628914e-17,0,2.625646845025779e-06,
b0928,,3,422,0.15565655936741177,0.0,0.15565655936741177,1,372.9594077329696,
b1866,,1,4,0.15565655936741177,0.15565655936741177,0.0,0,2.625646845025779e-06,
b0654,,2,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
b0655,,2,4,0.15565655936741177,0.15565655936741263,-8.604228440844963e-16,0,2.6256468450257937e-06,
