pi_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,l1_ko_highs
-0.5,b2154,,1,204,0.5183329169391334,0.5183329169391183,1.5099033134902132e-14,0,2700.363181512524,
-0.5,b0355,,1,204,0.5183329169391334,0.5183329169391183,1.5099033134902132e-14,0,2700.363181512524,
-0.5,b1744,,1,204,0.5183329169391334,0.5183329169391183,1.5099033134902132e-14,0,2700.363181512524,
-0.5,b1746,,1,204,0.5183329169391334,0.5183329169391183,1.5099033134902132e-14,0,2700.363181512524,
-0.5,b2263,,1,204,0.5183329169391334,0.5183329169391183,1.5099033134902132e-14,0,2700.363181512524,
-0.5,b3368,,3,477,0.5183329169391334,-4.222342138292761e-16,0.5183329169391339,1,5228.005198142502,
-0.5,b3281,,1,477,0.5183329169391334,-1.7572784041220906e-15,0.5183329169391352,1,5228.005198142586,
-0.5,b0388,,1,477,0.5183329169391334,-9.657576318182781e-15,0.5183329169391431,1,5228.00519814266,
-0.5,b3390,,1,477,0.5183329169391334,-3.292332302906879e-15,0.5183329169391367,1,5228.005198142568,
-0.5,b3939,,1,477,0.5183329169391334,-9.994580205253024e-15,0.5183329169391434,1,5228.005198142614,
-0.5,b1981,,1,204,0.5183329169391334,0.5183329169392535,-1.2012613126444194e-13,0,2700.3631815124863,
-0.5,b1206,,1,206,0.5183329169391334,0.5183329169391183,1.5099033134902132e-14,0,2700.012487796652,
-0.5,b1584,,2,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b1599,,1,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b1600,,1,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b3908,,1,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b1656,,1,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b1646,,1,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b1525,,2,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b2661,,1,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b2260,,1,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b2261,,1,206,0.5183329169391334,0.5183329169391977,-6.428191312579656e-14,0,2700.012487796625,
-0.5,b0721,,1,231,0.5183329169391334,0.51833291693916,-2.653433028854124e-14,0,2593.2633091273665,
-0.5,b0722,,1,231,0.5183329169391334,0.5183329169391384,-4.996003610813205e-15,0,2593.263309128456,
-0.5,b0724,,1,231,0.5183329169391334,0.5183329169391384,-4.996003610813205e-15,0,2593.263309128456,
-0.5,b0723,,1,231,0.5183329169391334,0.5183329169391384,-4.996003610813205e-15,0,2593.263309128456,
-0.5,b0728,,1,236,0.5183329169391334,0.5183329169392756,-1.422195694544826e-13,0,2607.5334231409747,
-0.5,b0729,,1,236,0.5183329169391334,0.5183329169390999,3.3528735343679734e-14,0,2607.533423141798,
-0.5,b1521,,1,236,0.5183329169391334,0.5183329169390999,3.3528735343679734e-14,0,2607.533423141798,
-0.5,b2464,,1,238,0.5183329169391334,0.5183329169390999,3.3528735343679734e-14,0,2559.626472168848,
-0.5,b0008,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b3062,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b3061,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b3063,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b0368,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b3790,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b3791,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
-0.5,b2038,,1,238,0.5183329169391334,0.5183329169391601,-2.6645352591003763e-14,0,2559.6264721685657,
