gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b1326,1,0,0.3983895354016876,0.3983895354016372,5.040412531798211e-14,0,0.0,pfba
b1325,1,8,0.3983895354016876,0.3983895354016858,1.7763568394002505e-15,0,0.8071037935322795,pfba
b0591,1,6,0.3983895354016876,0.39838953540167665,1.0935696792557792e-14,0,0.031198853936039668,pfba
b3035,9,6,0.3983895354016876,0.39838953540167665,1.0935696792557792e-14,0,0.031198853936039668,pfba
b0692,2,6,0.3983895354016876,0.398389535401683,4.6074255521944e-15,0,0.0006519912522692571,pfba
b2014,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1296,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b1298,1,0,0.3983895354016876,0.39838953540168354,4.052314039881821e-15,0,0.0,pfba
b3374,1,8,0.3983895354016876,0.3983895354016737,1.3877787807814457e-14,0,0.025837322671278813,pfba
b1308,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2197,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2201,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2200,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2199,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2198,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b0622,2,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3785,3,0,0.3983895354016876,0.39838953540168337,4.218847493575595e-15,0,0.0,pfba
b3793,3,0,0.3983895354016876,0.39838953540168337,4.218847493575595e-15,0,0.0,pfba
b2552,2,0,0.3983895354016876,0.3983895354017022,-1.459943277382081e-14,0,0.0,pfba
b0756,1,0,0.3983895354016876,0.39838953540168504,2.55351295663786e-15,0,0.0,pfba
b0484,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3469,6,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b3626,1,0,0.3983895354016876,0.3983895354016829,4.6629367034256575e-15,0,0.0,pfba
b3623,1,6,0.3983895354016876,0.398389535401681,6.6058269965196814e-15,0,0.5943423401310897,pfba
b2257,1,6,0.3983895354016876,0.39838953540168937,-1.7763568394002505e-15,0,0.0006519912521251781,pfba
b2711,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b2710,1,0,0.3983895354016876,0.3983895354016876,0.0,0,0.0,pfba
b4111,5,10,0.3983895354016876,0.39838953540167726,1.0325074129013956e-14,0,0.031216053494714492,pfba
b1386,3,0,0.3983895354016876,0.39838953540167915,8.43769498715119e-15,0,0.0,pfba
b4072,2,0,0.3983895354016876,0.3983895354016925,-4.884981308350689e-15,0,0.0,pfba
b4073,2,0,0.3983895354016876,0.3983895354016925,-4.884981308350689e-15,0,0.0,pfba
b4070,2,0,0.3983895354016876,0.3983895354016925,-4.884981308350689e-15,0,0.0,pfba
b4071,2,0,0.3983895354016876,0.3983895354016925,-4.884981308350689e-15,0,0.0,pfba
b3679,1,6,0.3983895354016876,0.39838953540170446,-1.687538997430238e-14,0,0.0006519912522556587,pfba
