o2_bound,gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
0.0,b1301,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0805,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b2155,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0576,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0594,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b3182,9,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b2010,5,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0839,5,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b2430,5,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0632,5,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0376,9,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b3833,2,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0514,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b2519,2,408,0.13410915918519603,-1.9824282756563596e-15,0.134109159185198,1,365.8030371819494
0.0,b3396,4,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371818973
0.0,b1069,2,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371818973
0.0,b0089,2,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371818973
0.0,b3208,2,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371818973
0.0,b0149,4,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371818973
0.0,b0084,2,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371818973
0.0,b0635,2,408,0.13410915918519603,0.0,0.13410915918519603,1,365.8030371819073
0.0,b0925,6,66,0.13410915918519603,0.13410915918519303,2.9976021664879227e-15,0,0.7846777097673097
0.0,b1678,6,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0355,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b2154,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b2893,2,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b0604,2,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b3930,1,66,0.13410915918519603,0.1341091591851999,-3.858025010572419e-15,0,0.7846777097683817
0.0,b3994,1,408,0.13410915918519603,1.9824282756563596e-15,0.13410915918519406,1,365.80303718194256
0.0,b1710,2,66,0.13410915918519603,0.13410915918519242,3.608224830031759e-15,0,0.7846777097671764
0.0,b2480,1,66,0.13410915918519603,0.13410915918516983,2.6201263381153694e-14,0,0.7846777097638177
0.0,b0429,1,66,0.13410915918519603,0.13410915918516983,2.6201263381153694e-14,0,0.7846777097638177
0.0,b0432,1,66,0.13410915918519603,0.13410915918516983,2.6201263381153694e-14,0,0.7846777097638177
0.0,b0430,1,66,0.13410915918519603,0.13410915918516983,2.6201263381153694e-14,0,0.7846777097638177
0.0,b0431,1,66,0.13410915918519603,0.13410915918516983,2.6201263381153694e-14,0,0.7846777097638177
0.0,b4041,7,69,0.13410915918519603,0.13410915918516983,2.6201263381153694e-14,0,0.7849829455894418
0.0,b0180,14,69,0.13410915918519603,0.13410915918519228,3.747002708109903e-15,0,0.7849829455925673
0.0,b2413,1,312,0.13410915918519603,0.1338511491123436,0.0002580100728524215,0,0.8081898153972149
0.0,b3018,7,408,0.13410915918519603,-3.6560239476967646e-17,0.13410915918519606,1,365.8030371819559
0.0,b4042,7,69,0.13410915918519603,0.13410915918519195,4.08006961549745e-15,0,0.7849829455927031
0.0,b4160,7,408,0.13410915918519603,3.4139489184581754e-16,0.1341091591851957,1,365.80303718189697
0.0,b0722,1,69,0.13410915918519603,0.134109159185197,-9.71445146547012e-16,0,0.7849829455935882
0.0,b0723,1,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b0721,1,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b0724,1,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b0494,21,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b0118,3,408,0.13410915918519603,7.316702516063286e-17,0.13410915918519595,1,365.8030371818485
0.0,b1276,2,408,0.13410915918519603,4.615389655818482e-30,0.13410915918519603,1,365.8030371818822
0.0,b3447,1,69,0.13410915918519603,0.13410915918519253,3.497202527569243e-15,0,0.7849829455928491
0.0,b1990,5,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b0819,5,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
0.0,b1113,5,69,0.13410915918519603,0.1341091591851883,7.743805596760467e-15,0,0.7849829455922602
