fe_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,engine
-0.01,b0007,,2,142,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4103.396693484646,
-0.01,b0356,,3,142,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4103.396693484646,
-0.01,b1478,,1,142,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4103.396693484646,
-0.01,b1385,,1,142,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4103.396693484646,
-0.01,b1300,,2,142,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4103.396693484646,
-0.01,b3588,,2,142,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4103.396693484646,
-0.01,b4084,,1,142,0.6226262374694641,0.622626237469647,-1.828537321557633e-13,0,4103.396693484646,
-0.01,b4090,,2,451,0.6226262374694641,0.3344382452962556,0.2881879921732085,0,4750.674832919395,
-0.01,b0516,,1,163,0.6226262374694641,0.6226262374696464,-1.822986206434507e-13,0,3968.622710576913,
-0.01,b0512,,1,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b0511,,1,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b4085,,1,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b4087,,2,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b4086,,2,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b4088,,2,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b0657,,2,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b1677,,2,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b1781,,1,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b3001,,1,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
-0.01,b0207,,2,163,0.6226262374694641,0.6226262374696471,-1.829647544582258e-13,0,3968.62271057694,
