o2_bound,gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV
0.0,b4033,,6,48,-9.449629182554199e-32,4.385845347910117e-17,-4.3858453479101264e-17,0,141.59407500000034
0.0,b4032,,6,48,-9.449629182554199e-32,4.385845347910117e-17,-4.3858453479101264e-17,0,141.59407500000034
0.0,b4035,,6,48,-9.449629182554199e-32,4.385845347910117e-17,-4.3858453479101264e-17,0,141.59407500000034
0.0,b4036,,7,47,-9.449629182554199e-32,-2.6786431146653313e-30,2.5841468228397892e-30,1,135.6405750000003
0.0,b4213,,8,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2835,,21,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2836,,23,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b3553,,10,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1134,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b0446,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1009,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b0954,,13,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b0180,,14,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b0347,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b3580,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1093,,14,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2323,,13,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1095,,9,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1397,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1245,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1244,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1329,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1246,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1247,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1386,,3,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b0004,,2,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1192,,4,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1243,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b4266,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b4265,,3,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b0159,,3,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b3197,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2708,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1094,,26,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b4481,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1927,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b3571,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2901,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1302,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b2662,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
0.0,b1444,,1,47,-9.449629182554199e-32,0.0,-9.449629182554199e-32,0,135.64057500000033
