gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,solve_src
b0516,,1,0,0.0992479883158715,0.0992479883158434,2.8116398098632093e-14,0,0.0,
b0512,,1,0,0.0992479883158715,0.0992479883158466,2.4924506902834764e-14,0,0.0,
b0511,,1,4,0.0992479883158715,0.099247988315844,2.7547408798511697e-14,0,1.9593550376789477e-09,
b4085,,1,4,0.0992479883158715,0.0992479883158448,2.665923037881157e-14,0,1.959355017407514e-09,
b4087,,2,4,0.0992479883158715,0.0992479883158621,9.43689570931383e-15,0,1.9593550587034954e-09,
b4086,,2,4,0.0992479883158715,0.0992479883158621,9.43689570931383e-15,0,1.9593550587034954e-09,
b4088,,2,4,0.0992479883158715,0.0992479883158621,9.43689570931383e-15,0,1.9593550587034954e-09,
b0657,,2,0,0.0992479883158715,0.0992479883158462,2.5340840537069198e-14,0,0.0,
b1677,,2,0,0.0992479883158715,0.0992479883158462,2.5340840537069198e-14,0,0.0,
b1781,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b3001,,1,0,0.0992479883158715,0.0992479883158715,0.0,0,0.0,
b0207,,2,0,0.0992479883158715,0.0992479883158712,2.6367796834847473e-16,0,0.0,
b3012,,2,0,0.0992479883158715,0.0992479883158712,2.6367796834847473e-16,0,0.0,
b3945,,4,0,0.0992479883158715,0.0992479883158481,2.3411828031782992e-14,0,0.0,
b3091,,1,4,0.0992479883158715,0.0992479883158564,1.5099033134902132e-14,0,1.959355037053384e-09,
b3416,,4,4,0.0992479883158715,0.0992479883158453,2.6229018956769323e-14,0,1.959355046495479e-09,
b3223,,1,0,0.0992479883158715,0.099247988315851,2.0511370379949767e-14,0,0.0,
b3222,,1,0,0.0992479883158715,0.0992479883158643,7.230327447871332e-15,0,0.0,
b0774,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.3215638848792,
b3833,,2,4,0.0992479883158715,0.0992479883158472,2.4286128663675302e-14,0,1.959355033376367e-09,
b3994,,1,421,0.0992479883158715,0.0,0.0992479883158715,1,285.32156388489506,
b1982,,1,4,0.0992479883158715,0.0992479883158462,2.5326962749261384e-14,0,1.959355059307604e-09,
b0932,,2,4,0.0992479883158715,0.0992479883158513,2.016442568475441e-14,0,1.9593550552123622e-09,
