gene_id,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,gene_id_str,bnum,keio_call,gene_name_keio,COG_id,PEC,MG_Tn5,Score
b2827,1,429,0.8217979336265955,9.613598291555165e-16,0.8217979336265945,1,15051.47742381853,b2827,b2827,N,thyA,COG0207,,,
b1238,2,78,0.8217979336265955,0.8217979336265979,-2.4424906541753444e-15,0,21.74518519031047,b1238,b1238,N,tdk,COG1435,,,
b1232,1,28,0.8217979336265955,0.8217979336265963,-7.771561172376096e-16,0,21.748759494333196,b1232,b1232,N,purU,COG0788,,,
b1851,1,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b1851,b1851,N,edd,COG0129,,,
b1693,1,429,0.8217979336265955,1.891102317307412e-14,0.8217979336265766,1,15051.477423818716,b1693,b1693,N,aroD,COG0710,,,
b4146,1,28,0.8217979336265955,0.8217979336265949,5.551115123125783e-16,0,21.74875949433321,b4146,b4146,N,yjeK,COG1509,,,
b1109,3,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b1109,b1109,N,ndh,COG1252,,,
b1004,3,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b1004,b1004,N,wrbA,COG0655,,,
b0046,3,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b0046,b0046,N,kefF,COG2249,,,
b3713,3,28,0.8217979336265955,0.8217979336266061,-1.0658141036401503e-14,0,21.748759494333562,b3713,b3713,N,yieF,COG0431,,,
b3236,1,418,0.8217979336265955,0.7915641531594004,0.03023378046719505,0,118.71622325044788,b3236,b3236,N,mdh,COG0039,,,
b4122,2,446,0.8217979336265955,0.7565406542490815,0.06525727937751402,0,2864.52346798927,b4122,b4122,N,fumB,COG1838,,,
b1611,1,446,0.8217979336265955,0.7565406542464391,0.06525727938015635,0,2864.5234682324317,b1611,b1611,N,fumC,COG0114,,,
b1612,1,446,0.8217979336265955,0.7565406542464391,0.06525727938015635,0,2864.5234682324317,b1612,b1612,N,fumA,COG1838,,,
b1638,2,28,0.8217979336265955,0.8217979336265754,2.0095036745715333e-14,0,310.78407161013155,b1638,b1638,N,pdxH,COG0259,,,
b0907,3,431,0.8217979336265955,-1.761267683281067e-16,0.8217979336265957,1,15424.395931635805,b0907,b0907,N,serC,COG1932,,,
b1210,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931635032,b1210,b1210,E,hemA,COG0373,N,u,0.5
b3429,1,28,0.8217979336265955,0.821797933626858,-2.625677453238495e-13,0,310.78407161008954,b3429,b3429,N,glgA,COG0297,,,
b3428,2,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b3428,b3428,N,glgP,COG0058,,,
b0428,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b0428,b0428,N,cyoE,COG0109,,,
b0120,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b0120,b0120,N,speD,COG1586,,,
b2937,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b2937,b2937,N,speB,COG0010,,,
b4117,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b4117,b4117,N,adiA,COG1982,,,
b3172,1,431,0.8217979336265955,1.6661659138193515e-15,0.8217979336265938,1,15424.395931635767,b3172,b3172,N,argG,COG0137,,,
b3958,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931635028,b3958,b3958,N,argC,COG0002,,,
b0121,2,28,0.8217979336265955,0.8217979336266008,-5.329070518200751e-15,0,310.7840716101357,b0121,b0121,N,speE,COG0421,,,
b0154,1,431,0.8217979336265955,8.66781590877641e-16,0.8217979336265946,1,15424.395931635787,b0154,b0154,E,hemL,COG0001,N,u,1
b0918,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634583,b0918,b0918,E,kdsB,COG1212,E,u,3
b4322,1,28,0.8217979336265955,0.8217979336265934,2.1094237467877974e-15,0,310.78407161013445,b4322,b4322,N,uxuA,COG1312,,,
b3091,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b3091,b3091,N,uxaA,COG2721,,,
b3092,2,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b3092,b3092,N,uxaC,COG1904,,,
b3176,1,431,0.8217979336265955,8.66781590877641e-16,0.8217979336265946,1,15424.395931635798,b3176,b3176,N,glmM,COG1109,,,
b3730,2,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634534,b3730,b3730,E,glmU,COG1207,E,u,3
b3189,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634534,b3189,b3189,E,murA,COG0766,E,u,2
b3967,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634892,b3967,b3967,E,murI,COG0796,E,u,3
b2323,13,431,0.8217979336265955,8.66781590877641e-16,0.8217979336265946,1,15424.395931635798,b2323,b2323,E,fabB,COG0304,E,u,3
b2232,2,28,0.8217979336265955,0.821797933626584,1.1435297153639112e-14,0,310.7840716101333,b2232,b2232,N,ubiG,COG2227,,,
b0593,1,28,0.8217979336265955,0.8217979336266186,-2.3092638912203256e-14,0,310.7840716101384,b0593,b0593,N,entC,COG1169,,,
b0142,1,431,0.8217979336265955,1.5304023874064765e-15,0.8217979336265939,1,15424.3959316358,b0142,b0142,E,folK,COG0801,N,u,1
b3634,1,431,0.8217979336265955,-1.3095411733111541e-13,0.8217979336267265,1,15424.395931639563,b3634,b3634,E,coaD,COG0669,E,u,3
b0394,1,28,0.8217979336265955,0.8217979336265916,3.885780586188048e-15,0,310.7840716101342,b0394,b0394,N,mak,COG1940,,,
b0173,1,431,0.8217979336265955,2.463190446435551e-11,0.8217979336019636,1,15424.395930731469,b0173,b0173,E,dxr,COG0743,E,u,3
b3843,1,431,0.8217979336265955,3.298758057383248e-11,0.8217979335936079,1,15424.395930426574,b3843,b3843,E,ubiD,COG0043,u,u,1
b0477,2,28,0.8217979336265955,0.8217979336266014,-5.88418203051333e-15,0,310.78407161013536,b0477,b0477,N,gsk,COG0524,,,
b1302,3,431,0.8217979336265955,2.4290156035408986e-16,0.8217979336265953,1,15424.3959316338,b1302,b1302,N,puuE,COG0160,,,
b2662,3,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931635141,b2662,b2662,N,gabT,COG0160,,,
b1525,2,28,0.8217979336265955,0.8217979336266105,-1.4988010832439613e-14,0,310.78407161013735,b1525,b1525,N,yneI,COG1012,,,
b3117,2,431,0.8217979336265955,-1.9064054719457946e-15,0.8217979336265974,1,15424.395931633877,b3117,b3117,N,tdcB,COG1171,,,
b2797,1,28,0.8217979336265955,0.8217979336265925,2.9976021664879227e-15,0,310.7840716101344,b2797,b2797,N,sdaB,COG1760,,,
b1814,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b1814,b1814,N,sdaA,COG1760,,,
b3616,1,28,0.8217979336265955,0.821797933626565,3.0531133177191805e-14,0,310.78407161013035,b3616,b3616,N,tdh,COG1063,,,
b3774,3,431,0.8217979336265955,-8.316610804788672e-16,0.8217979336265963,1,15424.395931633813,b3774,b3774,N,ilvC,COG0059,,,
b0185,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634836,b0185,b0185,E,accA,COG0825,E,u,3
b3256,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634914,b3256,b3256,E,accC,COG0439,E,u,2.5
b3255,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634914,b3255,b3255,E,accB,COG0511,E,u,2.5
b2316,1,431,0.8217979336265955,0.0,0.8217979336265955,1,15424.395931634914,b2316,b2316,E,accD,COG0777,E,u,2
